Asset, Typ, Start Date, Start Price, End Date, End Price, % Gewinn, Durchschnitt Gewinn
Gold, BR, 13.11.2008, "707,00", 22.08.2011, "1895,00", "168,03", "0,17"
Gold, BR1, 13.11.2008, "707,00", 03.12.2009, "1226,40", "73,47", "0,19"
Gold, DIP, 03.12.2009, "1226,40", 05.02.2010, "1045,20", "-14,77", "-0,23"
Gold, BR2, 05.02.2010, "1045,20", 22.08.2011, "1895,00", "81,31", "0,14"
GDX, BR, 20.11.2008, "17,59", 07.12.2010, "64,62", "267,37", "0,36"
GDX, BR1, 20.11.2008, "17,59", 02.12.2009, "55,40", "214,95", "0,57"
GDX, DIP, 02.12.2009, "55,40", 05.02.2010, "39,48", "-28,74", "-0,44"
GDX, BR2, 05.02.2010, "39,48", 07.12.2010, "64,62", "63,68", "0,21"
Gold, BR, 03.12.2015, "1046,20", 06.08.2020, "2063,00", "97,19", "0,06"
Gold, BR1, 03.12.2015, "1046,20", 06.07.2016, "1374,90", "31,42", "0,15"
Gold, DIP, 06.07.2016, "1374,90", 15.12.2016, "1123,90", "-18,26", "-0,11"
Gold, BR2, 15.12.2016, "1123,90", 06.08.2020, "2063,00", "83,56", "0,06"
GDX, BR, 19.01.2016, "12,40", 05.08.2020, "45,78", "269,19", "0,16"
GDX, BR1, 19.01.2016, "12,40", 24.02.2020, "31,84", "156,77", "0,10"
GDX, DIP, 24.02.2020, "31,84", 16.03.2020, "16,18", "-49,18", "-2,34"
GDX, BR2, 16.03.2020, "16,18", 05.08.2020, "45,78", "182,94", "1,29"
Gold, BR, 03.11.2022, "1615,10", 29.01.2026, "5586,20", "245,87", "0,21"
Gold, BR1, 03.11.2022, "1615,10", 04.05.2023, "2072,00", "28,29", "0,16"
Gold, DIP, 04.05.2023, "2072,00", 06.10.2023, "1809,40", "-12,67", "-0,08"
Gold, BR2, 06.10.2023, "1809,40", 29.01.2026, "5586,20", "208,73", "0,25"
GDX, BR, 03.11.2022, "22,58", 29.01.2026, "113,50", "402,66", "0,34"
GDX, BR1, 03.11.2022, "22,58", 04.05.2023, "36,26", "60,56", "0,33"
GDX, DIP, 04.05.2023, "36,26", 04.10.2023, "25,62", "-29,33", "-0,19"
GDX, BR2, 04.10.2023, "25,62", 29.01.2026, "113,50", "343,01", "0,40"
BTC, BR, 15.12.2018, "3156,26", 10.11.2021, "69000,00", "2086,13", "1,97"
BTC, BR, 21.11.2022, "15476,00", 06.10.2025, "126199,63", "715,45", "0,68"
MSTR, BR, 19.03.2020, "9,00", 09.02.2021, "131,50", "1361,11", "4,16"
MSTR, BR, 30.12.2022, "13,26", 16.07.2025, "457,22", "3349,16", "3,61"
